timestamp,classNbr,section,enrolled
2025-04-23 21:36:14,6007,XY22,1
2025-04-23 21:36:14,6016,XZC1,2
2025-04-23 21:36:14,6017,XZE1,12
2025-04-23 21:36:14,3027,Y01,15
2025-04-23 21:36:14,3026,Y02,15
2025-04-23 21:36:14,16,Y03,14
2025-04-23 21:36:14,3769,Y04,15
2025-04-23 21:36:14,4093,Y05,15
2025-04-23 21:36:14,4092,Y06,12
2025-04-23 21:36:14,4091,Y07,16
2025-04-23 21:36:14,4090,Y08,15
2025-04-23 21:36:14,4089,Y09,15
2025-04-23 21:36:14,4088,Y10,15
2025-04-23 21:36:14,4087,Y11,15
2025-04-23 21:36:14,4086,Y12,15
2025-04-23 21:36:14,4085,Y13,15
2025-04-23 21:36:14,4084,Y14,15
2025-04-23 21:36:14,4083,Y15,9
2025-04-23 21:36:14,4082,Y16,8
2025-04-23 21:36:14,4081,Y17,15
2025-04-23 21:36:14,4080,Y18,15
2025-04-23 21:36:14,4079,Y19,15
2025-04-23 21:36:14,4078,Y20,15
2025-04-23 21:36:14,4077,Y21,15
2025-04-23 21:36:14,4076,Y22,15
2025-04-23 21:36:14,4075,Y23,15
2025-04-23 21:36:14,4074,Z24,15
2025-04-23 21:36:14,4073,Z25,15
2025-04-23 21:36:14,4072,Z26,15
2025-04-23 21:36:14,4071,Z27,1
2025-04-23 21:36:14,4070,Z28,15
2025-04-23 21:36:14,4069,Z29,15
2025-04-23 21:36:14,4068,Z30,15
2025-04-23 21:36:14,4067,Z31,15
2025-04-23 21:36:14,4066,Z32,15
2025-04-23 21:36:14,4065,Z33,14
2025-04-23 21:36:14,4064,Z34,14
2025-04-23 21:36:14,4063,Z35,5
2025-04-23 21:36:14,4062,Z36,15
2025-04-23 21:36:14,4061,Z37,10
2025-04-23 21:36:14,4060,Z38,14
2025-04-23 21:41:10,6007,XY22,1
2025-04-23 21:41:10,6016,XZC1,3
2025-04-23 21:41:10,6017,XZE1,12
2025-04-23 21:41:10,3027,Y01,15
2025-04-23 21:41:10,3026,Y02,15
2025-04-23 21:41:10,16,Y03,14
2025-04-23 21:41:10,3769,Y04,15
2025-04-23 21:41:10,4093,Y05,15
2025-04-23 21:41:10,4092,Y06,12
